Date,Year,Month,Day,Shift,TACC Sorties,High Priority Sorties,Flying Hours,Cargo (Stons),Passengers
2/12/13,2013,2,12,Day,,,,,
2/12/13,2013,2,12,Swings,,,,,
2/12/13,2013,2,12,Mids,,,,,
2/13/13,2013,2,13,Day,,,,,
2/13/13,2013,2,13,Swings,,,,,
2/13/13,2013,2,13,Mids,,,,,
2/14/13,2013,2,14,Day,,,,,
2/14/13,2013,2,14,Swings,,,,,
2/14/13,2013,2,14,Mids,,,,,
2/15/13,2013,2,15,Day,,,,,
2/15/13,2013,2,15,Swings,,,,,
2/15/13,2013,2,15,Mids,,,,,
2/16/13,2013,2,16,Day,,,,,
2/16/13,2013,2,16,Swings,,,,,
2/16/13,2013,2,16,Mids,,,,,
2/17/13,2013,2,17,Day,,,,,
2/17/13,2013,2,17,Swings,,,,,
2/17/13,2013,2,17,Mids,,,,,
2/18/13,2013,2,18,Day,,,,,
2/18/13,2013,2,18,Swings,,,,,
2/18/13,2013,2,18,Mids,,,,,
2/19/13,2013,2,19,Day,,,,,
2/19/13,2013,2,19,Swings,,,,,
2/19/13,2013,2,19,Mids,,,,,
2/20/13,2013,2,20,Day,,,,,
2/20/13,2013,2,20,Swings,,,,,
2/20/13,2013,2,20,Mids,,,,,
2/21/13,2013,2,21,Day,,,,,
2/21/13,2013,2,21,Swings,,,,,
2/21/13,2013,2,21,Mids,,,,,
2/22/13,2013,2,22,Day,,,,,
2/22/13,2013,2,22,Swings,,,,,
2/22/13,2013,2,22,Mids,,,,,
2/23/13,2013,2,23,Day,,,,,
2/23/13,2013,2,23,Swings,,,,,
2/23/13,2013,2,23,Mids,,,,,
2/24/13,2013,2,24,Day,,,,,
2/24/13,2013,2,24,Swings,,,,,
2/24/13,2013,2,24,Mids,,,,,
2/25/13,2013,2,25,Day,,,,,
2/25/13,2013,2,25,Swings,,,,,
2/25/13,2013,2,25,Mids,,,,,
2/26/13,2013,2,26,Day,,,,,
2/26/13,2013,2,26,Swings,,,,,
2/26/13,2013,2,26,Mids,,,,,
2/27/13,2013,2,27,Day,,,,,
2/27/13,2013,2,27,Swings,,,,,
2/27/13,2013,2,27,Mids,,,,,
2/28/13,2013,2,28,Day,,,,,
2/28/13,2013,2,28,Swings,,,,,
2/28/13,2013,2,28,Mids,,,,,
3/1/13,2013,3,1,Day,,,,,
3/1/13,2013,3,1,Swings,,,,,
3/1/13,2013,3,1,Mids,,,,,
3/2/13,2013,3,2,Day,,,,,
3/2/13,2013,3,2,Swings,,,,,
3/2/13,2013,3,2,Mids,,,,,
3/3/13,2013,3,3,Day,,,,,
3/3/13,2013,3,3,Swings,,,,,
3/3/13,2013,3,3,Mids,,,,,
3/4/13,2013,3,4,Day,,,,,
3/4/13,2013,3,4,Swings,,,,,
3/4/13,2013,3,4,Mids,,,,,
3/5/13,2013,3,5,Day,,,,,
3/5/13,2013,3,5,Swings,,,,,
3/5/13,2013,3,5,Mids,,,,,
3/6/13,2013,3,6,Day,,,,,
3/6/13,2013,3,6,Swings,,,,,
3/6/13,2013,3,6,Mids,,,,,
3/7/13,2013,3,7,Day,,,,,
3/7/13,2013,3,7,Swings,,,,,
3/7/13,2013,3,7,Mids,,,,,
3/8/13,2013,3,8,Day,,,,,
3/8/13,2013,3,8,Swings,,,,,
3/8/13,2013,3,8,Mids,,,,,
3/9/13,2013,3,9,Day,,,,,
3/9/13,2013,3,9,Swings,,,,,
3/9/13,2013,3,9,Mids,,,,,
3/10/13,2013,3,10,Day,,,,,
3/10/13,2013,3,10,Swings,,,,,
3/10/13,2013,3,10,Mids,,,,,
3/11/13,2013,3,11,Day,,,,,
3/11/13,2013,3,11,Swings,,,,,
3/11/13,2013,3,11,Mids,,,,,
3/12/13,2013,3,12,Day,,,,,
3/12/13,2013,3,12,Swings,,,,,
3/12/13,2013,3,12,Mids,,,,,
3/13/13,2013,3,13,Day,,,,,
3/13/13,2013,3,13,Swings,,,,,
3/13/13,2013,3,13,Mids,,,,,
3/14/13,2013,3,14,Day,,,,,
3/14/13,2013,3,14,Swings,,,,,
3/14/13,2013,3,14,Mids,,,,,
3/15/13,2013,3,15,Day,,,,,
3/15/13,2013,3,15,Swings,,,,,
3/15/13,2013,3,15,Mids,,,,,
3/16/13,2013,3,16,Day,,,,,
3/16/13,2013,3,16,Swings,,,,,
3/16/13,2013,3,16,Mids,,,,,
3/17/13,2013,3,17,Day,,,,,
3/17/13,2013,3,17,Swings,,,,,
3/17/13,2013,3,17,Mids,,,,,
3/18/13,2013,3,18,Day,,,,,
